acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.981,0.78,0.55,0.122,0.165,0.7659,0.396,0.3416,0.847,1930
0.991,0.545,0.133,0.444,0.115,0.6181,0.127,0.7582,0.691,1930
0.995,0.746,0.159,0.819,0.109,0.7031,0.189,0.492,0.88,1930
0.981,0.273,0.0958,0.0011,0.637,0.623,0.0465,0.3535,0.18,1930
0.982,0.503,0.46,0.78,0.157,0.7942,0.0454,0.3248,0.909,1930
0.989,0.414,0.229,0.0007,0.121,0.7742,0.0587,0.3064,0.325,1930
0.992,0.368,0.263,0.89,0.288,0.6849,0.0476,0.4156,0.312,1930
0.996,0.342,0.308,0.903,0.14,0.7285,0.0564,0.3062,0.949,1930
0.951,0.69,0.714,0.0003,0.234,0.6913,0.0747,0.476,0.804,1930
0.994,0.552,0.275,0.829,0.11,0.74,0.0599,0.4796,0.544,1930
0.962,0.32,0.529,0.392,0.117,0.823,0.0474,0.3263,0.858,1930
0.994,0.144,0.331,0.88,0.145,0.7297,0.0428,0.2948,0.164,1930
0.29,0.344,0.857,0.874,0.125,0.8544,0.0507,0.5763,0.158,1930
0.971,0.807,0.202,0.161,0.0561,0.7255,0.184,0.4726,0.886,1930
0.989,0.445,0.288,0.758,0.111,0.7999,0.0699,0.8416,0.697,1930
0.996,0.269,0.319,0.882,0.196,0.6856,0.0514,0.3107,0.447,1930
0.971,0.74,0.508,0.946,0.134,0.7618,0.063,0.3131,0.967,1930
0.87,0.353,0.0785,0.0,0.112,0.6509,0.0376,0.289,0.261,1930
0.99,0.518,0.462,0.85,0.157,0.7888,0.377,0.7328,0.696,1930
0.991,0.574,0.372,0.0001,0.877,0.7848,0.0592,0.3639,0.874,1930
0.991,0.358,0.35,0.0387,0.348,0.7269,0.0392,0.4643,0.305,1930
0.779,0.427,0.531,0.978,0.145,0.6785,0.0325,0.4547,0.353,1930
0.994,0.6,0.174,0.805,0.173,0.7979,0.0449,0.4839,0.594,1930
0.977,0.611,0.38,0.0002,0.117,0.6767,0.0586,0.606,0.654,1930
0.996,0.401,0.354,0.0123,0.248,0.8106,0.0387,0.463,0.797,1930
0.984,0.711,0.256,0.0076,0.084,0.7559,0.0789,0.4677,0.603,1930
0.983,0.728,0.159,0.0004,0.115,0.7779,0.475,0.5006,0.65,1930
0.995,0.664,0.283,0.874,0.109,0.653,0.0807,0.4077,0.688,1930
0.821,0.627,0.795,0.0,0.105,0.9334,0.136,0.4126,0.975,1930
0.941,0.629,0.714,0.97,0.284,0.7971,0.0361,0.5201,0.965,1930
0.0014,0.45,0.873,0.0001,0.323,0.8318,0.0507,0.5409,0.505,1930
0.944,0.433,0.458,0.0019,0.0641,0.7722,0.0585,0.269,0.716,1930
0.971,0.72,0.236,0.0012,0.0376,0.7163,0.121,0.5248,0.69,1930
0.993,0.308,0.317,0.934,0.109,0.7416,0.0451,0.3569,0.915,1930
0.992,0.373,0.239,0.848,0.179,0.7917,0.079,0.3435,0.589,1930
0.936,0.594,0.54,0.879,0.242,0.7721,0.0507,0.444,0.772,1930
0.982,0.453,0.446,0.0467,0.463,0.7847,0.036,0.485,0.64,1930
0.994,0.429,0.214,0.941,0.111,0.7048,0.0626,0.3166,0.716,1930
0.994,0.327,0.114,0.556,0.13,0.6313,0.0534,0.2706,0.184,1930
0.991,0.712,0.623,0.566,0.303,0.7857,0.04,0.5514,0.926,1930
0.993,0.433,0.148,0.898,0.0967,0.6756,0.0588,0.5218,0.313,1930
0.943,0.354,0.387,0.0082,0.0674,0.7936,0.0293,0.4092,0.442,1930
0.996,0.478,0.404,0.76,0.114,0.7914,0.0401,0.4832,0.696,1930
0.979,0.696,0.325,0.664,0.432,0.8049,0.135,0.4725,0.856,1930
0.993,0.423,0.409,0.0,0.342,0.7584,0.0364,0.4126,0.617,1930
0.993,0.635,0.143,0.504,0.119,0.619,0.097,0.4251,0.54,1930
0.995,0.585,0.199,0.6,0.12,0.7668,0.127,0.861,0.926,1930
0.995,0.37,0.287,0.448,0.122,0.749,0.0514,0.4543,0.327,1930
0.994,0.367,0.262,0.939,0.124,0.7222,0.054,0.3043,0.842,1930
0.996,0.389,0.409,0.808,0.173,0.7935,0.0507,0.3637,0.796,1930
0.977,0.66,0.215,0.0,0.782,0.6656,0.0938,0.4417,0.561,1930
0.983,0.564,0.191,0.802,0.168,0.7657,0.0319,0.354,0.388,1930
0.962,0.766,0.252,0.0,0.337,0.8019,0.0556,0.4657,0.881,1930
0.994,0.475,0.277,0.0007,0.299,0.7705,0.0465,0.3838,0.968,1930
0.988,0.631,0.254,0.527,0.106,0.8111,0.0604,0.4087,0.713,1930
0.905,0.8,0.166,0.128,0.0883,0.706,0.0779,0.4263,0.617,1930
